onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	1	0010011111.jpg	2	4
14	5	2	1111111111.jpg	6	5
26	5	2	1010110011.jpg	6	7
38	5	2	0111010011.jpg	6	6
50	5	1	1000101111.jpg	2	2
62	5	1	0101001111.jpg	2	3
74	5	1	0000000011.jpg	2	1
86	5	2	1101100011.jpg	6	8
98	5	2	0111010011.jpg	6	6
110	5	2	1111111111.jpg	6	5
122	5	1	0010011111.jpg	2	4
134	5	1	0000000011.jpg	2	1
146	5	2	1101100011.jpg	6	8
158	5	2	1010110011.jpg	6	7
170	5	1	1000101111.jpg	2	2
182	5	1	0101001111.jpg	2	3
194	5	2	1101100011.jpg	6	8
206	5	1	0000000011.jpg	2	1
218	5	2	1010110011.jpg	6	7
230	5	2	1111111111.jpg	6	5
242	5	2	0111010011.jpg	6	6
254	5	1	0101001111.jpg	2	3
266	5	1	1000101111.jpg	2	2
278	5	1	0010011111.jpg	2	4
