onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	1	1000101111.jpg	2	2
14	5	2	1010110011.jpg	6	7
26	5	1	0101001111.jpg	2	3
38	5	2	1101100011.jpg	6	8
50	5	2	0111010011.jpg	6	6
62	5	2	1111111111.jpg	6	5
74	5	1	0010011111.jpg	2	4
86	5	1	0000000011.jpg	2	1
98	5	2	1010110011.jpg	6	7
110	5	1	0000000011.jpg	2	1
122	5	2	0111010011.jpg	6	6
134	5	1	0010011111.jpg	2	4
146	5	2	1111111111.jpg	6	5
158	5	1	0101001111.jpg	2	3
170	5	1	1000101111.jpg	2	2
182	5	2	1101100011.jpg	6	8
194	5	2	1111111111.jpg	6	5
206	5	1	1000101111.jpg	2	2
218	5	1	0000000011.jpg	2	1
230	5	2	1101100011.jpg	6	8
242	5	1	0010011111.jpg	2	4
254	5	1	0101001111.jpg	2	3
266	5	2	1010110011.jpg	6	7
278	5	2	0111010011.jpg	6	6
