onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	0111010011.jpg	6	6
14	5	1	0101001111.jpg	2	3
26	5	2	1010110011.jpg	6	7
38	5	1	0010011111.jpg	2	4
50	5	2	1111111111.jpg	6	5
62	5	1	1000101111.jpg	2	2
74	5	2	1101100011.jpg	6	8
86	5	1	0000000011.jpg	2	1
98	5	2	0111010011.jpg	6	6
110	5	2	1010110011.jpg	6	7
122	5	2	1111111111.jpg	6	5
134	5	1	0101001111.jpg	2	3
146	5	2	1101100011.jpg	6	8
158	5	1	1000101111.jpg	2	2
170	5	1	0000000011.jpg	2	1
182	5	1	0010011111.jpg	2	4
194	5	1	0010011111.jpg	2	4
206	5	1	0000000011.jpg	2	1
218	5	1	1000101111.jpg	2	2
230	5	2	1111111111.jpg	6	5
242	5	2	1101100011.jpg	6	8
254	5	1	0101001111.jpg	2	3
266	5	2	1010110011.jpg	6	7
278	5	2	0111010011.jpg	6	6
