onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	1111111111.jpg	6	5
14	5	1	0000000011.jpg	2	1
26	5	2	1101100011.jpg	6	8
38	5	1	0101001111.jpg	2	3
50	5	1	1000101111.jpg	2	2
62	5	1	0010011111.jpg	2	4
74	5	2	0111010011.jpg	6	6
86	5	2	1010110011.jpg	6	7
98	5	2	1010110011.jpg	6	7
110	5	1	0000000011.jpg	2	1
122	5	2	1101100011.jpg	6	8
134	5	1	0101001111.jpg	2	3
146	5	2	1111111111.jpg	6	5
158	5	1	1000101111.jpg	2	2
170	5	1	0010011111.jpg	2	4
182	5	2	0111010011.jpg	6	6
194	5	2	0111010011.jpg	6	6
206	5	1	0010011111.jpg	2	4
218	5	1	0000000011.jpg	2	1
230	5	2	1010110011.jpg	6	7
242	5	2	1101100011.jpg	6	8
254	5	1	0101001111.jpg	2	3
266	5	1	1000101111.jpg	2	2
278	5	2	1111111111.jpg	6	5
