onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	1111110011.jpg	6	5
14	5	2	0111011111.jpg	6	6
26	5	1	1000100011.jpg	2	2
38	5	2	1101101111.jpg	6	8
50	5	1	0010010011.jpg	2	4
62	5	1	0101000011.jpg	2	3
74	5	1	0000001111.jpg	2	1
86	5	2	1010111111.jpg	6	7
98	5	2	1010111111.jpg	6	7
110	5	1	0000001111.jpg	2	1
122	5	1	0101000011.jpg	2	3
134	5	2	1101101111.jpg	6	8
146	5	1	1000100011.jpg	2	2
158	5	2	1111110011.jpg	6	5
170	5	1	0010010011.jpg	2	4
182	5	2	0111011111.jpg	6	6
194	5	2	1101101111.jpg	6	8
206	5	1	0000001111.jpg	2	1
218	5	2	1010111111.jpg	6	7
230	5	2	1111110011.jpg	6	5
242	5	1	0010010011.jpg	2	4
254	5	1	1000100011.jpg	2	2
266	5	2	0111011111.jpg	6	6
278	5	1	0101000011.jpg	2	3
